940GZZBPSUST,Battersea Power Station
940GZZLUACT,Acton Town
940GZZLUACY,Archway
940GZZLUADE,Aldgate East
940GZZLUAGL,Angel
940GZZLUALD,Aldgate
940GZZLUALP,Alperton
940GZZLUAMS,Amersham
940GZZLUASG,Arnos Grove
940GZZLUASL,Arsenal
940GZZLUBBB,Bromley-by-Bow
940GZZLUBBN,Barbican
940GZZLUBDS,Bounds Green
940GZZLUBEC,Becontree
940GZZLUBKE,Barkingside
940GZZLUBKF,Blackfriars
940GZZLUBKG,Barking
940GZZLUBKH,Buckhurst Hill
940GZZLUBLG,Bethnal Green
940GZZLUBLM,Balham
940GZZLUBLR,Blackhorse Road
940GZZLUBMY,Bermondsey
940GZZLUBND,Bond Street
940GZZLUBNK,Bank
940GZZLUBOR,Borough
940GZZLUBOS,Boston Manor
940GZZLUBSC,Barons Court
940GZZLUBST,Baker Street
940GZZLUBTK,Burnt Oak
940GZZLUBTX,Brent Cross
940GZZLUBWR,Bow Road
940GZZLUBWT,Bayswater
940GZZLUBXN,Brixton
940GZZLUBZP,Belsize Park
940GZZLUCAL,Chalfont & Latimer
940GZZLUCAR,Caledonian Road
940GZZLUCFM,Chalk Farm
940GZZLUCGN,Covent Garden
940GZZLUCGT,Canning Town
940GZZLUCHL,Chancery Lane
940GZZLUCHX,Charing Cross
940GZZLUCKS,Cockfosters
940GZZLUCND,Colindale
940GZZLUCPC,Clapham Common
940GZZLUCPK,Canons Park
940GZZLUCPN,Clapham North
940GZZLUCPS,Clapham South
940GZZLUCSD,Colliers Wood
940GZZLUCSM,Chesham
940GZZLUCST,Cannon Street
940GZZLUCTN,Camden Town
940GZZLUCWL,Chigwell
940GZZLUCWP,Chiswick Park
940GZZLUCWR,Canada Water
940GZZLUCXY,Croxley
940GZZLUCYD,Chorleywood
940GZZLUCYF,Canary Wharf
940GZZLUDBN,Debden
940GZZLUDGE,Dagenham East
940GZZLUDGY,Dagenham Heathway
940GZZLUDOH,Dollis Hill
940GZZLUEAC,Elephant & Castle
940GZZLUEAE,Eastcote
940GZZLUEAN,East Acton
940GZZLUEBY,Ealing Broadway
940GZZLUECM,Ealing Common
940GZZLUECT,Earl's Court
940GZZLUEFY,East Finchley
940GZZLUEGW,Edgware
940GZZLUEHM,East Ham
940GZZLUEMB,Embankment
940GZZLUEPG,Epping
940GZZLUEPK,Elm Park
940GZZLUEPY,East Putney
940GZZLUERB,Edgware Road
940GZZLUERB,Edgware Road Bakerloo
940GZZLUERC,Edgware Road Circle Line
940GZZLUESQ,Euston Square
940GZZLUEUS,Euston
940GZZLUFBY,Fulham Broadway
940GZZLUFCN,Farringdon
940GZZLUFLP,Fairlop
940GZZLUFPK,Finsbury Park
940GZZLUFYC,Finchley Central
940GZZLUFYR,Finchley Road
940GZZLUGBY,Gunnersbury
940GZZLUGDG,Goodge Street
940GZZLUGFD,Greenford
940GZZLUGGH,Grange Hill
940GZZLUGGN,Golders Green
940GZZLUGHK,Goldhawk Road
940GZZLUGPK,Green Park
940GZZLUGPS,Great Portland Street
940GZZLUGTH,Gants Hill
940GZZLUGTR,Gloucester Road
940GZZLUHAI,Highbury & Islington
940GZZLUHAW,Harrow & Wealdstone
940GZZLUHBN,Holborn
940GZZLUHBT,High Barnet
940GZZLUHCH,Hornchurch
940GZZLUHCL,Hendon Central
940GZZLUHGD,Hillingdon
